A166666               ASSOCIACAO REGION...001BANCO DO BRASIL     2018082100022304DEBITO AUTOMATICO                                                    
E1234000123454            1234000000001234542018091000000000000700003Joao da Silva                                                                   0
E8888000088888            8888000000000888882018091000000000006310003Maria da Silva                                                                  0
E1111000001233            1111000000000012332018091000000000002311203Pedro Henrique                                                                  0
E1234000123454            1234000000001234542018081000000000000700003Joao da Silva                                                                   0
E8888000088888            8888000000000888882018081000000000006310003Maria da Silva                                                                  0
E1111000001233            1111000000000012332018081000000000002311203Pedro Henrique                                                                  0
E1234000123454            1234000000001234542018082200000000000700003Joao da Silva                                                                   0
E8888000088888            8888000000000888882018082200000000006310003Maria da Silva                                                                  0
E1111000001233            1111000000000012332018082200000000002311203Pedro Henrique                                                                  0
E0037130038913            0037000001300389132018082300000000002210003Guilhermina Alves                                                               0
E0057000123566            0057000000001235662018082300000000000750003Leandro Almeida                                                                 0
E1234000123454            1234000000001234542018082000000000000100003Joao da Silva                                                                   0
E1234000123454            1234000000001234542018082100000000000100003Joao da Silva                                                                   0
E1234000123454            1234000000001234542018082300000000000100003Joao da Silva                                                                   0
E0001000099785            0001000000000997852018091000000000012381203Maria Laura Gomes Ferreira                                                      0
E0001000099785            0001000000000997852018101000000000012381203Maria Laura Gomes Ferreira                                                      0
E0001000099785            0001000000000997852018111000000000012381203Maria Laura Gomes Ferreira                                                      0
E0037130038913            0037000001300389132018082200000000002210003Guilhermina Alves                                                               0
E0057000123566            0057000000001235662018082200000000000750003Leandro Almeida                                                                 0
Z00002100000000000713272                                                                                                                              
